term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,meaninglanguage1,meaning1,meaninglanguage2,meaning2
befestige,...ist schwer und ich befestige,verb,ich,präsens,befestigen,verb,präsens,ich,befestigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,attach,,
indizien,Du hast zwei Indizien.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(n. Indiz) piece of circumstantial evidence,,
schimpft,…Er schimpft nicht?,verb,präsens,er/sie/es,ausschimpfen,schimpfen,Substantiv,verb,präsens,substantiv,er/sie/es,ausschimpfen,schimpfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"insults, swears, curses, complains, rants",,
liege,"…schaut sofort auf die Liege, die neben ihrem Bett…",verb,ich,präsens,ausliegen,darüberliegen,liegen,obliegen,unterliegen,vorliegen,zurückliegen,Substantiv,verb,präsens,ich,liegen,substantiv,darüberliegen,vorliegen,ausliegen,zurückliegen,unterliegen,obliegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"die. cot , couch",,
stottert,"…war gerade noch da“, stottert Emma.",verb,präsens,er/sie/es,abstottern,stottern,Substantiv,verb,präsens,substantiv,er/sie/es,abstottern,stottern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,stutters,,
weggelaufen,"...nie von zu Hause weggelaufen“, antwortet Selina.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,тікати  геть,,
herunterladen,…wie er die App herunterladen kann.,verb,ich,futur,Substantiv,verb,futur,ich,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,download,,
verdorben,…sie ihm einen Tag verdorben.,verb,ich,perfekt,verderben,Adjektiv,Substantiv,adjektiv,verb,ich,perfekt,substantiv,verderben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"verderben v. spoil, ruin, undo, wreck, devastate, deprave,",,
blöde,Diese blöde Emma hat das Gartentor…,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj.  stupid, idiotical, foolish, ridiculous, senseless",,
wimmelt,Dort wimmelt es immer von Touristen!,verb,präsens,er/sie/es,wimmeln,verb,präsens,er/sie/es,wimmeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,swarms,,
aufteilen,"…Wollen wir uns aufteilen?“, fragt Lars.",verb,ich,futur,verb,futur,ich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,split up,,
siebt,…Wir sind zu siebt.,verb,präsens,er/sie/es,sieben,verb,präsens,er/sie/es,sieben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,seventh,,
bilden,"Bilden wir drei Gruppen!“, schlägt…",verb,präsens,wir,abbilden,ausbilden,außbilden,einbilden,fortbilden,nachbilden,verb,präsens,wir,außbilden,nachbilden,ausbilden,einbilden,abbilden,fortbilden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,form,,
daraufhin,Daraufhin sagt Lars schnell:„ Julia…,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,thereupon,,
siegessäule,"…Wir gehen Richtung Siegessäule“, meint Akram.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Berlin Victory Column,,
tierheime,…die Polizei und die Tierheime informieren sollen.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,animal shelters,,
warfen,Digory und Polly warfen sich einen Blick zu.,verb,wir,indikativ,präteritum,abwerfen,aufwerfen,auswerfen,einwerfen,umwerfen,unterwerfen,vorwerfen,wegwerfen,werfen,zuwerfen,Adjektiv,adjektiv,verb,indikativ,wir,präteritum,werfen,aufwerfen,unterwerfen,zuwerfen,abwerfen,vorwerfen,einwerfen,umwerfen,wegwerfen,auswerfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. throw, cast, chuck, toss",,
esel,…mit so einem alten Esel wie mir zu reden.“…,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,der; donkey,,
wagten,"Sie wagten es nicht, etwas zu…",verb,wir,indikativ,präteritum,wagen,verb,indikativ,wir,präteritum,wagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. venture, risk, dare, hazard",,
widersprach,"…nur ein, mein Schätzchen“, widersprach Onkel Andrew und lachte.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. contradict, oppose, controvert, dispute, talk back",,
besinnen,…er sich anders zu besinnen.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"think over, consider; remember, recall",,
verschlagen,…wiederkommt?“ Onkel Andrew lächelte verschlagen.,verb,präsens,wir,verb,präsens,wir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"tricky, artful, devious",,
angezündet,…sogar selbst das Feuer angezündet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"lit by firelight, set on fire",,
angestellten,...Schalter und zeigt der Angestellten seinen Dienstausweis.,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"clerk, bureaucrat, minor office worker;",,
wertvoll,"Ist sie denn wertvoll?“, frage ich.",Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj. valuable, of great worth, costly, estimable, precious, expensive",,
störte,"…lieber tanzen gehen, da störte so ein kleines Mädchen…",verb,ich,indikativ,präteritum,stören,verb,indikativ,ich,präteritum,stören,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"bothered, disturbed",,
gemeinsam,...Beier und er etwas gemeinsam haben: die Leidenschaft für...,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,together,,
selbstsüchtige,"Oscar Wilde, Der selbstsüchtige Riese",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,selfish self-seeking self-absorbed narcissistic,,
panne,hatte mein Auto eine Panne,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) breakdown, puncture; hitch, delay, problem",,
läutete,"…nahm, um ihn anzurufen, läutete es.",verb,ich,indikativ,präteritum,anläuten,läuten,verb,indikativ,ich,präteritum,anläuten,läuten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"sound, be heard, produce a sound",,
platt,,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"flat, superficial, dull",,
biss,"…also gelogen“, sagte ich, biss in meine Pizza und…",verb,ich,indikativ,präteritum,abbeißen,abbeissen,abeisen,anbeißen,aufbeißen,aufeinanderbeißen,ausbeißen,beißen,beissen,durchbeißen,entzweibeißen,festbeißen,herausbeißen,hinausbeißen,hineinbeißen,reinbeißen,totbeißen,wegbeißen,zubeißen,zusammenbeißen,Substantiv,verb,indikativ,ich,präteritum,substantiv,beissen,beißen,zubeißen,wegbeißen,totbeißen,reinbeißen,hineinbeißen,hinausbeißen,herausbeißen,festbeißen,entzweibeißen,durchbeißen,zusammenbeißen,ausbeißen,aufeinanderbeißen,aufbeißen,anbeißen,abeisen,abbeissen,abbeißen,,,,,,,,,,,,,,,,,,,en,(past) to bite,,
erwischt,Ausreißer aus Schwaben erwischt.,verb,präsens,er/sie/es,erwischen,Substantiv,verb,präsens,substantiv,er/sie/es,erwischen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"caught, got, nabbed",,
packt,Bene packt Jacqui am Arm.,verb,präsens,er/sie/es,abpacken,auspacken,einpacken,packen,zupacken,Substantiv,verb,präsens,er/sie/es,packen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(er/sie/es) v. präs. packs, wraps, puts in cases; seizes, captures, catches",,
ungläubigem,...und dann Meggie mit ungläubigem Gesicht.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"incredulous, unbelieving",,
abschlussbericht,"Sein Abschlussbericht war perfekt. Ausführlich, detailliert...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) final report,,
hebt,Stefan hebt schnell den Kopf und...,verb,präsens,er/sie/es,abheben,anheben,aufheben,ausheben,heben,hervorheben,hochheben,verb,präsens,heben,er/sie/es,aufheben,abheben,hervorheben,anheben,ausheben,hochheben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"lift, raise, hoist, elevate",,
uhren,Sein Spielzeug und seine Uhren sind magisch.,verb,wir,indikativ,präteritum,appliciren,appliziren,elektrisiren,evangelisiren,formiren,repliciren,Substantiv,verb,indikativ,wir,präteritum,substantiv,appliciren,formiren,appliziren,evangelisiren,elektrisiren,repliciren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die)  n. clock, watch, timepiece,",,
rast,Rufus rast hinter dem Stock her…,verb,präsens,du,rasen,Substantiv,verb,präsens,du,substantiv,rasen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"careen, fly, pass quickly",,
rauch,Raum gibt es viel Rauch,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) smoke, fumes",,
atemlos,"...durchs Haus, bis sie atemlos vor Lachen in ihr...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,breathless,,
verschwinden,Eva sagt leise: „Verschwinden wir von hier!“,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"disappear, vanish",,
krach,...als er plötzlich einen lauten Krach hört ...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"boom, crash, rumble, loud noise, din; (der)",,
dicht,…Staubfinger stand jetzt ganz dicht vor Meggie.,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"tight, close; impervious; dense",,
blutvergiftung,...Lord Carnarvon bekommt eine Blutvergiftung und stirbt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Blood poisoning,,
heimatstadt,in ihrer Heimatstadt München bleiben. Sie nimmt…,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,hometown (die),,
genießen,"...lernen, die Sprache zu genießen.",verb,präsens,wir,geniessen,Substantiv,verb,präsens,geniessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"enjoy, relish, take pleasure in, savour",,
flammten,"…den Häusern am Ufer flammten die ersten Lichter auf,…",verb,wir,indikativ,präteritum,aufflammen,Substantiv,verb,indikativ,wir,präteritum,substantiv,aufflammen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"blazed, flared",,
deutlich,"...nah, dass sie jetzt deutlich horen, was sie sagen.",Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"clearly, exactly",,
nachdem,"…etwas anders klang, je nachdem, ob sie schon wusste,…",Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,after that,,
darauf,"...Stück, ein paar Zahlen darauf, ein paar Buchstaben ...",Pronomen,Adverb,adverb,pronomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,"потом, затем, после, на том, на этом, от того, тогда, вслед за этим",,
dienstwagen,...und fährt mit seinem Dienstwagen zur Polizeistation.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"der. staff car, company car, official car",,
frühdienst,Heute hat er Frühdienst. Mit einem Kollegen ist...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,n. early duty/service/shift,,
streifenwagen,...er heute in einem Streifenwagen unterwegs.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) patrol car,,
notruf,"Wenn ein Notruf kommt, fahren sie dorthin...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) emergency call, telephone call requesting assistance in an emergency",,
verkehrsunfall,...geht es um einen Verkehrsunfall oder einen Ladendiebstahl.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,traffic accident,,
autofahrer,"...fahren, beobachten sie einen Autofahrer, der ziemlich unkontrolliert fährt.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Motorist,,
alkoholmessgerät,...er noch in das Alkoholmessgerät blasen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,alcohol meter,,
unkontrolliert,"...einen Autofahrer, der ziemlich unkontrolliert fährt.",Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,uncontrolled,,
eintrag,...ist. Es gibt keinen Eintrag. Er darf seinen Führerschein...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der)  n. entry, information entered (in a book, list, etc.)",,
anzeige,"...einen Bericht und eine Anzeige schreiben müssen. Dort angekommen,",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) advertisement, notice",,
schalten,"...finden sie verdächtig, daher schalten sie das Blaulicht ein...",verb,präsens,wir,indikativ,präteritum,abschalten,anschalten,ausschalten,einschalten,schelten,umschalten,Substantiv,verb,indikativ,präsens,wir,präteritum,substantiv,schelten,ausschalten,anschalten,einschalten,abschalten,umschalten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"switch, turn, turn on",,
zulassung,...den Führerschein und die Zulassung. Dann muss er noch...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,admission,,
blasen,...noch in das Alkoholmessgerät blasen.,verb,präsens,wir,abblasen,aufblasen,einblasen,Substantiv,verb,präsens,wir,substantiv,abblasen,einblasen,aufblasen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,blow,,
behalten,"...Er darf seinen Führerschein behalten,",verb,präsens,wir,abbehalten,beibehalten,liebbehalten,vorbehalten,Adjektiv,Substantiv,beibehalten,adjektiv,verb,präsens,wir,substantiv,abbehalten,vorbehalten,liebbehalten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"keep, retain possession of, hold onto",,
belohnung,...Verbrecherbande und kriegen eine Belohnung.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"reward, payment",,
erhält,erhält jedoch eine Vormerkung. An...,verb,präsens,er/sie/es,aufrechterhalten,erhalten,verb,präsens,er/sie/es,erhalten,aufrechterhalten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"get, receive",,
vormerkung,erhält jedoch eine Vormerkung. An manchen Tagen ist...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -en) n. caution",,
nahestehende,...damit weder sie noch nahestehende Personen verletzt werden. Dafür...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"nahestehend  adj.  associated, related",,
einsätze,"...gibt nur selten gefährliche Einsätze, da sie in einer...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"strategic actions, operations;",,
täter,"...Ja, wir haben den Täter schon.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,злочинець,,
bewaffneten,haben sie einen bewaffneten Täter. In solchen Situationen...,verb,wir,indikativ,präteritum,bewaffnen,Adjektiv,adjektiv,verb,indikativ,wir,präteritum,bewaffnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"bewaffnen v. arm, equip with weapons",,
abschließen,"mehrjährige Ausbildung abschließen, bevor er Polizist werden...",verb,ich,futur,verb,futur,ich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v.  lock, latch, shut, close; accomplish, finalize, end, sum up, complete",,
waffe,...Job noch nie seine Waffe verwenden. Und darüber ist...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,weapon (die Waffe),,
schimpfte,...langweilige Erklärungen für alles!“ schimpfte Digory.,verb,ich,indikativ,präteritum,ausschimpfen,schimpfen,Substantiv,verb,indikativ,ich,präteritum,substantiv,ausschimpfen,schimpfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"schimpfen - to badmouth, to rant, to offend, to scold",,
kerzenschein,...als eben noch bei Kerzenschein in der Schmugglerhöhle.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Candlelight,,
gespann,"...Mund auf das seltsame Gespann: Einen Wolf, der einen...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"Team, term referencing the horse and cart tethered together",,
vergnüglich,...auf denen es sehr vergnüglich zuging und nicht gerade...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"enjoyable, amusing, funny",,
spitzbart,...alter General mit grauem Spitzbart.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"Goatee, pointed beard",,
riesigen,Und es gibt einen riesigen Garten mit Apfelbäumen.“,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,величезний,,
zuging,...denen es sehr vergnüglich zuging und nicht gerade wenig...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"approach, come near to",,
leuchtend,Er hatte ein leuchtend rotes Gesicht vom vielen...,verb,präsens,partizip,leuchten,Adjektiv,Adverb,adjektiv,verb,präsens,adverb,partizip,leuchten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"bright, luminous",,
weinbrand,...sich dann über den Weinbrand her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,brandy,,
entzündete,Sofort entzündete sich eine Flamme und...,verb,ich,indikativ,präteritum,entzünden,Adjektiv,adjektiv,verb,indikativ,ich,präteritum,entzünden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,inflamed; irritated; infected,,
beworben,"...Offizier bei der Armee beworben, musste aber viele Monate...",verb,ich,perfekt,bewerben,verb,ich,perfekt,bewerben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,applied,,
vertrug,Am meisten aber vertrug ein alter General mit...,verb,ich,indikativ,präteritum,vertragen,verb,indikativ,ich,präteritum,vertragen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"tolerated, took",,
aufzubehalten,...bei Tisch seinen Hut aufzubehalten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to keep something on, to leave undone, keep undone",,
gelegenheit,"Beim der nächsten Gelegenheit, als wieder einmal viel...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"chance, occasion, possibility, opportunity",,
angewohnheit,"Der General hatte die Angewohnheit, bei Tisch seinen Hut...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) habit, mannerism",,
abgeschlagen,...einem Säbelkampf die Schädeldecke abgeschlagen wurde.,Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"chopped, cut",,
trinkgelage,"...entdeckte, dass er beim Trinkgelage hin und wieder seinen...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(das) drinking bout,,
nüchtern,...der General war wieder nüchtern.,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,sober,,
anhob,...wieder seinen Hut etwas anhob.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"elevated, raised",,
absetzen,...er den Hut nicht absetzen.,verb,ich,futur,Substantiv,verb,futur,ich,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,remove,,
verdunstete,Der Alkohol verdunstete und der General war...,verb,ich,indikativ,präteritum,verdunsten,Substantiv,verdunsten,verb,indikativ,ich,präteritum,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,evaporated,,
funken,...sich eine Flamme und Funken sprühten.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"spark, flicker; small particle, small amount",,
sprühten,...eine Flamme und Funken sprühten.,verb,wir,indikativ,präteritum,sprühen,Substantiv,verb,indikativ,wir,präteritum,substantiv,sprühen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"sprühen v. spray, sprinkle, bubble, effervesce",,
feuersäule,Die Feuersäule umrahmte sein Gesicht wie...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Pillar of Fire,,
umrahmte,Die Feuersäule umrahmte sein Gesicht wie ein...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,framed,,
